team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
Brazil,,Ederson,0,GK,32,1993-08-17,Brazil,Fenerbahçe,32,0,10000000,0,0
Brazil,,Roger Ibañez,0,DF,27,1998-11-23,Brazil,Al-Ahli,6,0,18000000,0,0
Brazil,,Igor Thiago,0,FW,24,2001-06-26,Brazil,Brentford,3,2,65000000,0,0
Brazil,,Rayan,0,FW,19,2006-08-03,Brazil,Bournemouth,2,1,60000000,0,0
Haiti,,Johny Placide,1,GK,38,1988-01-29,Haiti,Bastia,80,0,150000,0,0
Haiti,,Carlens Arcus,0,DF,29,1996-06-28,Haiti,Angers,52,1,1800000,0,0
Haiti,,Keeto Thermoncy,0,DF,20,2006-03-29,Haiti,Young Boys,1,0,100000,0,0
Haiti,,Ricardo Adé,0,DF,36,1990-05-21,Haiti,LDU Quito,58,2,300000,0,0
Haiti,,Hannes Delcroix,0,DF,27,1999-02-28,Haiti,Lugano,6,0,2000000,0,0
Haiti,,Carl Sainté,0,MF,23,2002-08-09,Haiti,El Paso Locomotive FC,26,0,125000,0,0
Haiti,,Derrick Etienne Jr.,0,FW,29,1996-11-25,Haiti,Toronto FC,47,8,800000,0,0
Haiti,,Martin Expérience,0,DF,27,1999-03-09,Haiti,Nancy,20,0,350000,0,0
Haiti,,Duckens Nazon,0,FW,32,1994-04-07,Haiti,Esteghlal,77,44,800000,0,0
Haiti,,Jean-Ricner Bellegarde,0,MF,27,1998-06-27,Haiti,Wolverhampton Wanderers,9,0,16000000,0,0
Haiti,,Louicius Deedson,0,FW,25,2001-02-11,Haiti,FC Dallas,31,10,1200000,0,0
