team,player_name,position,age,date_of_birth,caps,goals,club
Scotland,Ben Gannon-Doak,FW,20,2005-11-11,13,1,Bournemouth
Scotland,George Hirst,FW,27,1999-02-15,9,1,Ipswich Town
Scotland,Lewis Ferguson,MF,26,1999-08-24,23,1,Bologna
Scotland,Lawrence Shankland,FW,30,1995-08-10,19,6,Heart of Midlothian
Scotland,Craig Gordon,GK,43,1982-12-31,84,0,Heart of Midlothian
Scotland,Nathan Patterson,DF,24,2001-10-16,26,1,Everton
Scotland,Kenny McLean,MF,34,1992-01-08,57,3,Norwich City
Scotland,Anthony Ralston,DF,27,1998-11-16,26,1,Celtic
Scotland,Findlay Curtis,FW,20,2006-06-09,2,1,Kilmarnock
Scotland,Scott McKenna,DF,29,1996-11-12,50,1,Dinamo Zagreb
Australia,Mathew Ryan (captain),GK,34,1992-04-08,104,0,Levante
Australia,Miloš Degenek,DF,32,1994-04-28,56,1,APOEL
Australia,Alessandro Circati,DF,22,2003-10-10,12,1,Parma
Australia,Jacob Italiano,DF,24,2001-07-30,4,0,Grazer AK
Australia,Jordan Bos,DF,23,2002-10-29,26,4,Feyenoord
Australia,Jason Geria,DF,33,1993-05-10,13,0,Albirex Niigata
Australia,Mathew Leckie,FW,35,1991-02-04,79,14,Melbourne City
Australia,Connor Metcalfe,MF,26,1999-11-05,35,1,FC St. Pauli
Australia,Mohamed Touré,FW,22,2004-03-26,9,2,Norwich City
Australia,Ajdin Hrustic,FW,29,1996-07-05,37,4,Heracles Almelo
Australia,Awer Mabil,FW,30,1995-09-15,38,10,Castellón
Australia,Paul Izzo,GK,31,1995-01-06,4,0,Randers
Australia,Aiden O'Neill,MF,27,1998-07-04,30,0,New York City FC
Australia,Cammy Devlin,MF,28,1998-06-07,4,0,Heart of Midlothian
Australia,Kai Trewin,DF,25,2001-05-18,5,0,New York City FC
Australia,Aziz Behich,DF,35,1990-12-16,83,3,Melbourne City
Australia,Nestory Irankunda,FW,20,2006-02-09,14,5,Watford
Australia,Patrick Beach,GK,22,2003-08-06,1,0,Melbourne City
Australia,Harry Souttar,DF,27,1998-10-22,37,11,Leicester City
Australia,Cristian Volpato,FW,22,2003-11-15,0,0,Sassuolo
Australia,Cameron Burgess,DF,30,1995-10-21,26,0,Swansea City
Australia,Jackson Irvine,MF,33,1993-03-07,81,14,FC St. Pauli
Australia,Nishan Velupillay,FW,25,2001-05-07,7,3,Melbourne Victory
Australia,Paul Okon-Engstler,MF,21,2005-01-24,5,0,Sydney FC
Australia,Lucas Herrington,DF,18,2007-09-05,3,0,Colorado Rapids
Australia,Tete Yengi,FW,25,2000-11-28,0,0,Machida Zelvia
Paraguay,Gatito Fernández,GK,38,1988-03-29,30,0,Cerro Porteño
Paraguay,Gustavo Velázquez,DF,35,1991-04-17,12,1,Cerro Porteño
Paraguay,Omar Alderete,DF,29,1996-12-26,35,3,Sunderland
Paraguay,Juan José Cáceres,DF,26,2000-06-01,16,0,Dynamo Moscow
Paraguay,Fabián Balbuena,DF,34,1991-08-23,47,2,Grêmio
Paraguay,Júnior Alonso,DF,33,1993-02-09,70,3,Atlético Mineiro
Paraguay,Ramón Sosa,MF,26,1999-08-31,28,1,Palmeiras
Paraguay,Diego Gómez,MF,23,2003-03-27,23,3,Brighton & Hove Albion
Paraguay,Antonio Sanabria,FW,30,1996-03-04,47,7,Cremonese
Paraguay,Miguel Almirón,MF,32,1994-02-10,75,9,Atlanta United FC
Paraguay,Maurício,MF,24,2001-06-22,2,0,Palmeiras
Paraguay,Orlando Gill,GK,26,2000-06-11,5,0,San Lorenzo
Paraguay,José Canale,DF,29,1996-07-20,1,0,Lanús
Paraguay,Andrés Cubas,MF,30,1996-05-11,32,0,Vancouver Whitecaps FC
Paraguay,Gustavo Gómez (captain),DF,33,1993-05-06,88,4,Palmeiras
Paraguay,Damián Bobadilla,MF,24,2001-07-11,19,1,São Paulo
Paraguay,Kaku,FW,31,1995-01-11,32,5,Al Ain
Paraguay,Álex Arce,FW,30,1995-06-16,14,1,Independiente Rivadavia
Paraguay,Julio Enciso,FW,22,2004-01-23,31,4,Strasbourg
